id,chart_date,target_rank,actual_rank,title,artist,peak_rank,weeks_on_chart
490,7/6/1974,51,51,My Thang,James Brown,29,13
491,1/18/1986,25,,,,,
492,3/21/1981,14,15,Don't Stand So Close To Me,The Police,10,18
493,6/16/1984,80,,,,,
494,10/10/1981,94,96,I Don't Need You,Kenny Rogers,3,18
495,11/23/1963,59,,,,,
496,8/4/1962,97,,,,,
497,8/31/1974,82,81,City In The Sky,The Staple Singers,79,7
498,4/6/1985,100,,,,,
499,7/10/1965,69,,,,,
500,4/27/1959,93,93,The Battle Of New Orleans,Johnny Horton,1,20
501,7/1/1978,17,17,Last Dance,Donna Summer,3,21
502,7/3/1965,20,21,I've Been Loving You Too Long (To Stop Now),Otis Redding,21,11
503,11/9/1991,30,31,Good Vibrations,Marky Mark,1,19
504,1/19/1974,1,2,The Joker,Steve Miller Band,1,20
505,5/25/1963,2,,,,,
506,2/19/1977,33,33,After The Lovin',Engelbert Humperdinck,8,19
507,1/19/1980,22,22,Still,Commodores,1,20
508,9/29/1973,58,58,For Ol' Times Sake,Elvis Presley,41,9
509,4/27/1963,71,,,,,
510,3/28/1964,96,97,How Blue Can You Get,B.B. King,97,2
511,6/9/1962,61,61,Oh My Angel,Bertha Tillman,61,9
512,6/12/1982,67,66,Going To A Go-Go,The Rolling Stones,25,11
513,11/18/1972,29,,,,,
514,1/21/1989,19,,,,,
515,7/3/1961,51,50,Fool That I Am,Etta James,50,6
516,7/20/1963,31,33,Those Lazy-Hazy-Crazy Days Of Summer,"Nat ""King"" Cole",6,12
517,5/30/1981,16,16,All Those Years Ago,George Harrison,2,16
518,10/18/1969,64,64,Suite: Judy Blue Eyes,"Crosby, Stills & Nash",21,12
519,7/1/1972,61,,,,,
520,5/5/1973,83,,,,,
521,8/11/1990,86,85,The Humpty Dance,Digital Underground,11,23
522,8/21/1976,20,20,Young Hearts Run Free,Candi Staton,20,16
523,7/8/1972,80,,,,,
524,5/11/1985,78,80,Private Dancer,Tina Turner,7,18
525,5/10/1975,44,44,Trampled Under Foot,Led Zeppelin,38,7
526,10/4/1986,60,62,Love Comes Quickly,Pet Shop Boys,62,8
527,5/30/1964,72,,,,,
528,7/5/1969,8,7,Crystal Blue Persuasion,Tommy James,2,15
529,5/21/1983,93,,,,,
530,12/22/1990,87,89,This House,Tracie Spencer,3,23
531,12/14/1985,59,58,Running Up That Hill,Kate Bush,30,20
532,6/23/1962,94,,,,,
533,8/28/1961,65,65,"Baby, You're Right",James Brown,49,4
534,4/24/1965,87,,,,,
535,5/4/1968,51,,,,,
536,7/11/1981,40,,,,,
537,9/19/1970,34,35,Indiana Wants Me,R. Dean Taylor,5,15
538,9/30/1989,82,,,,,
539,12/6/1980,48,48,Stop This Game,Cheap Trick,48,12
540,12/22/1979,93,92,With You I'm Born Again,Billy Preston,4,29
541,1/17/1970,14,,,,,
542,10/27/1984,6,6,Wake Me Up Before You Go-Go,Wham!,1,24
543,12/28/1968,31,30,If I Can Dream,Elvis Presley,12,13
544,10/23/1965,74,,,,,
545,10/20/1973,85,85,Redneck Friend,Jackson Browne,85,10
546,3/12/1977,80,79,Disco Inferno,The Trammps,11,29
547,9/2/1978,54,54,Almost Like Being In Love,Michael Johnson,32,12
548,10/3/1987,82,,,,,
549,4/30/1966,93,92,Double Shot (Of My Baby's Love),Swingin' Medallions,17,13
550,12/23/1978,69,71,Shake Your Groove Thing,Peaches & Herb,5,22
551,5/26/1984,44,,,,,
552,8/4/1979,40,40,Born To Be Alive,Patrick Hernandez,16,19
553,6/25/1983,49,48,Maniac,Michael Sembello,1,22
554,1/12/1963,98,100,Walk Right In,The Moments,82,5
555,8/12/1978,70,69,Surrender,Cheap Trick,62,8
556,9/1/1979,41,,,,,
557,10/23/1961,15,,,,,
558,1/6/1979,73,,,,,
559,1/27/1979,31,31,Baby I'm Burnin',Dolly Parton,25,14
560,5/30/1970,4,4,Cecilia,Simon & Garfunkel,4,13
561,8/16/1980,22,24,Boulevard,Jackson Browne,19,16
562,7/10/1961,56,54,Fool That I Am,Etta James,50,6
563,11/9/1968,81,,,,,
564,5/8/1971,97,,,,,
565,9/9/1967,87,89,Judy,Elvis Presley,78,5
566,11/18/1972,57,,,,,
567,3/4/1989,25,25,The Look,Roxette,1,19
568,5/19/1979,64,65,Dance Away,Roxy Music,44,9
569,3/10/1962,33,,,,,
570,6/15/1963,76,75,Six Days On The Road,Dave Dudley,32,11
571,5/29/1961,65,65,Quarter To Three,Gary U.S. Bonds,1,15
572,1/18/1986,39,38,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,13,38
573,7/19/1975,59,59,"Oh Me, Oh My (Dreams In My Arms)",Al Green,48,6
574,5/11/1985,34,34,Along Comes A Woman,Chicago,14,16
575,1/12/1991,65,,,,,
576,11/9/1968,44,,,,,
577,10/10/1970,85,84,Let's Work Together,Canned Heat,26,11
578,1/21/1989,27,27,Giving You The Best That I Got,Anita Baker,3,22
579,7/31/1965,86,86,Heart Full Of Soul,The Yardbirds,9,12
580,5/26/1962,75,75,I Found A Love,The Falcons,75,9
581,10/24/1970,5,,,,,
582,4/3/1971,52,50,I Don't Blame You At All,The Miracles,18,12
583,8/7/1961,57,58,Amor,Ben E. King,18,10
584,1/31/1987,68,,,,,
585,12/7/1968,30,28,Too Weak To Fight,Clarence Carter,13,15
586,7/13/1974,92,,,,,
587,8/14/1965,6,6,Unchained Melody,The Righteous Brothers,4,13
588,1/14/1978,10,10,We Are The Champions,Queen,4,27
589,10/9/1982,36,36,Southern Cross,"Crosby, Stills & Nash",18,17
590,2/7/1987,23,23,Talk To Me,Chico DeBarge,21,20
591,3/15/1980,99,99,The Long Run,Eagles,8,15
592,3/4/1989,42,43,All She Wants Is,Duran Duran,22,13
593,3/15/1980,43,,,,,
594,10/16/1982,74,73,Situation,Yaz,73,8
595,8/3/1959,84,,,,,
596,2/10/1962,19,19,Letter Full Of Tears,Gladys Knight & The Pips,19,11
597,11/7/1964,31,30,Time Is On My Side,The Rolling Stones,6,13
598,4/25/1964,34,32,Wish Someone Would Care,Irma Thomas,17,12
599,7/27/1991,99,99,Hey Stoopid,Alice Cooper,78,5
600,12/21/1985,54,52,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,13,38
601,9/28/1974,88,90,I Can Help,Billy Swan,1,18
602,4/6/1991,88,,,,,
603,8/10/1959,53,55,Sleep Walk,Santo & Johnny,1,18
604,7/1/1978,41,,,,,
605,3/28/1970,45,44,The Thrill Is Gone,B.B. King,15,14
606,12/29/1973,58,57,I Love,Tom T. Hall,12,16
607,12/21/1974,50,49,Everlasting Love,Carl Carlton,6,15
608,3/6/1982,18,18,Harden My Heart,Quarterflash,3,24
609,11/21/1964,66,,,,,
610,4/8/1978,44,44,Rocket Ride,Kiss,39,10
611,4/18/1987,38,,,,,
612,12/19/1970,88,,,,,
613,2/13/1971,52,,,,,
614,6/28/1969,59,60,I Want To Take You Higher,Sly & The Family Stone,38,16
615,9/23/1978,9,9,Hot Child In The City,Nick Gilder,1,31
616,6/1/1968,2,1,Mrs. Robinson,Simon & Garfunkel,1,13
617,9/4/1961,31,32,(Marie's the Name) His Latest Flame,Elvis Presley,4,11
618,7/4/1964,47,46,Everybody Loves Somebody,Dean Martin,1,15
619,12/23/1967,22,23,If I Could Build My Whole World Around You,"Marvin Gaye,Tammi Terrell",10,11
620,7/25/1987,82,80,"Twistin  The Night Away (From ""Innerspace"")",Rod Stewart,80,4
621,8/18/1984,1,1,Ghostbusters,Ray Parker Jr.,1,21
622,8/16/1980,61,,,,,
623,9/5/1970,83,82,It's Only Make Believe,Glen Campbell,10,12
624,7/20/1959,99,,,,,
625,9/1/1973,29,30,Higher Ground,Stevie Wonder,4,14
626,8/10/1991,82,,,,,
627,5/26/1990,91,92,Nick Of Time,Bonnie Raitt,92,3
628,3/31/1990,44,43,Hold On,Wilson Phillips,1,25
629,4/2/1983,14,14,Beat It,Michael Jackson,1,25
630,6/26/1961,68,,,,,
631,9/4/1971,36,37,If You Really Love Me,Stevie Wonder,8,14
632,12/2/1967,15,,,,,
633,3/5/1983,72,71,Maneater,Daryl Hall & John Oates,1,23
634,4/25/1987,47,48,Brass Monkey,Beastie Boys,48,10
635,7/4/1964,21,22,The Little Old Lady (From Pasadena),Jan & Dean,3,11
636,2/5/1977,25,24,After The Lovin',Engelbert Humperdinck,8,19
637,8/13/1983,22,23,Human Nature,Michael Jackson,7,14
638,5/4/1963,45,45,Out Of My Mind,Johnny Tillotson,24,10
639,5/31/1986,91,,,,,
640,6/9/1973,79,77,Think,James Brown,33,16
641,7/4/1981,61,,,,,
642,11/23/1963,68,,,,,
643,1/28/1967,99,100,The People In Me,The Music Machine,66,8
644,5/9/1987,80,,,,,
645,3/23/1968,1,1,(Sittin' On) The Dock Of The Bay,Otis Redding,1,16
646,1/28/1984,6,,,,,
647,3/21/1987,85,85,Caught Up In The Rapture,Anita Baker,37,18
648,2/20/1988,3,2,What Have I Done To Deserve This?,Pet Shop Boys,2,12
649,11/7/1970,61,61,Stoned Love,The Supremes,7,14
650,3/28/1964,8,8,"Hello, Dolly!",Louis Armstrong,1,22
651,1/29/1983,80,78,It's Raining Men,The Weather Girls,46,11
652,9/19/1964,83,,,,,
653,9/14/1974,32,,,,,
654,1/30/1982,75,73,Tainted Love,Soft Cell,8,43
655,8/28/1976,67,66,Sunrise,Eric Carmen,34,10
656,8/16/1980,79,79,Years From Now,Dr. Hook,51,9
657,8/13/1988,89,90,In Your Soul,Corey Hart,38,10
658,11/14/1964,23,22,Ask Me,Elvis Presley,12,12
659,2/6/1982,4,4,Harden My Heart,Quarterflash,3,24
660,1/2/1988,16,18,There's The Girl,Heart,12,17
661,1/25/1969,47,,,,,
662,1/29/1972,44,45,Looking For A Love,The J. Geils Band,39,10
663,8/9/1980,61,62,He's So Shy,Pointer Sisters,3,26
664,1/22/1972,40,39,Looking For A Love,The J. Geils Band,39,10
665,11/24/1984,70,,,,,
666,4/28/1962,76,,,,,
667,12/16/1989,69,,,,,
668,2/22/1975,42,41,Big Yellow Taxi,Joni Mitchell,24,16
669,7/30/1966,43,43,You Can't Roller Skate In A Buffalo Herd,Roger Miller,40,6
670,6/8/1991,10,12,Silent Lucidity,Queensryche,9,17
671,11/19/1977,78,80,Heaven's Just A Sin Away,The Kendalls,69,7
672,5/25/1963,60,59,Baby Workout,Jackie Wilson,5,12
673,6/19/1971,93,,,,,
674,12/14/1963,13,13,Sugar Shack,The Fireballs,1,15
675,11/23/1968,84,85,With A Little Help From My Friends,Joe Cocker,68,6
676,7/10/1961,49,,,,,
677,6/5/1971,20,20,Don't Knock My Love - Pt. 1,Wilson Pickett,13,12
678,10/31/1964,95,95,Chained And Bound,Otis Redding,70,7
679,12/1/1958,87,,,,,
680,8/15/1981,51,51,All Those Years Ago,George Harrison,2,16
681,6/27/1987,38,38,With Or Without You,U2,1,18
682,8/19/1972,1,2,Brandy (You're A Fine Girl),Looking Glass,1,16
683,1/16/1982,70,72,That Girl,Stevie Wonder,4,18
684,8/11/1973,11,11,Feelin' Stronger Every Day,Chicago,10,16
685,5/11/1991,10,11,Silent Lucidity,Queensryche,9,17
686,6/20/1960,75,,,,,
687,1/23/1988,2,2,Need You Tonight,INXS,1,24
688,8/24/1968,70,72,On The Road Again,Canned Heat,16,11
689,10/10/1964,82,82,"The Anaheim, Azusa & Cucamonga Sewing Circle, Book Review And Timing Association",Jan & Dean,77,3
690,7/4/1981,22,23,Queen Of Hearts,Juice Newton,2,27
691,12/10/1966,52,51,Tell It Like It Is,Aaron Neville,2,14
692,1/27/1973,75,77,Fever,Rita Coolidge,76,7
693,8/14/1961,73,,,,,
694,11/3/1962,12,,,,,
695,7/26/1980,33,33,Boulevard,Jackson Browne,19,16
696,6/5/1965,76,78,Too Many Rivers,Brenda Lee,13,13
697,6/10/1989,91,,,,,
698,8/17/1985,83,85,People Get Ready,Jeff Beck,48,10
699,3/10/1979,81,82,Heartaches,Bachman-Turner Overdrive,60,7
700,11/7/1970,74,72,Does Anybody Really Know What Time It Is?,Chicago,7,13
701,7/23/1983,54,55,White Wedding,Billy Idol,36,13
702,8/30/1969,80,,,,,
703,2/8/1960,25,,,,,
704,8/8/1960,77,,,,,
705,8/20/1977,69,67,Baby Don't Change Your Mind,Gladys Knight & The Pips,52,11
706,12/16/1972,19,20,Living In The Past,Jethro Tull,11,14
707,3/16/1959,61,60,This Should Go On Forever,Rod Bernard,20,11
708,4/17/1976,31,29,Sara Smile,Daryl Hall & John Oates,4,28
709,2/28/1987,56,56,Caught Up In The Rapture,Anita Baker,37,18
710,3/23/1991,57,,,,,
711,9/19/1981,37,36,Some Days Are Diamonds (Some Days Are Stone),John Denver,36,20
712,3/14/1964,10,,,,,
713,9/18/1971,56,58,Ko-Ko Joe,Jerry Reed,51,6
714,12/10/1983,80,,,,,
715,9/10/1966,29,,,,,
716,7/11/1981,36,35,Lady (You Bring Me Up),Commodores,8,22
717,9/18/1971,64,,,,,
718,1/26/1991,2,,,,,
719,7/28/1984,51,,,,,
720,12/23/1972,47,46,Rocky Mountain High,John Denver,9,19
721,12/24/1977,98,100,Help Is On Its Way,Little River Band,14,22
722,6/23/1962,34,36,Where Are You,Dinah Washington,36,10
723,3/15/1969,67,67,Maybe Tomorrow,Badfinger,67,6
724,11/22/1986,91,,,,,
725,12/12/1970,22,23,For The Good Times,Ray Price,11,24
726,1/12/1963,81,79,Would It Make Any Difference To You,Etta James,64,7
727,3/27/1965,2,4,Eight Days A Week,The Beatles,1,10
728,3/13/1976,55,55,Breaking Up Is Hard To Do,Neil Sedaka,1,25
729,5/24/1986,42,42,Pretty In Pink,Psychedelic Furs,41,11
730,9/4/1961,30,32,(Marie's the Name) His Latest Flame,Elvis Presley,4,11
731,4/16/1977,43,42,Lucille,Kenny Rogers,5,19
732,12/23/1967,91,,,,,
733,8/18/1958,16,17,Bird Dog,The Everly Brothers,2,19
734,11/13/1965,38,39,I Will,Dean Martin,10,10
735,9/25/1976,16,15,Getaway,"Earth, Wind & Fire",12,19
736,7/10/1982,13,13,Do I Do,Stevie Wonder,13,14
737,9/2/1978,52,50,Shadow Dancing,Andy Gibb,1,25
738,9/28/1963,47,,,,,
739,10/30/1971,66,,,,,
740,10/12/1959,48,46,Living Doll,Cliff Richard,30,13
741,10/1/1983,63,62,Love Is A Battlefield,Pat Benatar,5,22
742,5/26/1990,52,50,The Power,Snap,2,22
743,6/16/1979,48,47,One Way Or Another,Blondie,24,14
744,3/27/1961,67,,,,,
745,6/18/1977,87,,,,,
746,12/15/1958,20,18,That Old Black Magic,Louis Prima & Keely Smith,18,13
747,1/14/1989,52,52,Baby Can I Hold You,Tracy Chapman,48,12
748,12/25/1965,60,61,Crying Time,Ray Charles,6,15
749,11/24/1973,39,40,D'yer Mak'er,Led Zeppelin,20,16
750,3/2/1959,44,,,,,
751,10/2/1971,86,86,I'd Love To Change The World,Ten Years After,40,12
752,12/25/1971,58,57,Levon,Elton John,24,10
753,5/17/1975,47,,,,,
754,10/18/1986,97,,,,,
755,11/24/1973,49,51,Smokin' In The Boy's Room,Brownsville Station,3,19
756,1/20/1962,89,,,,,
757,11/24/1990,70,71,World In My Eyes,Depeche Mode,52,10
758,8/10/1974,45,45,Come Monday,Jimmy Buffett,30,14
759,3/30/1968,76,74,Foggy Mountain Breakdown,Flatt & Scruggs,55,12
760,8/12/1972,79,,,,,
761,7/9/1977,62,63,Walk Right In,Dr. Hook,46,10
762,12/8/1973,62,64,Walk Like A Man,Grand Funk Railroad,19,12
763,4/20/1974,95,,,,,
764,2/3/1962,34,,,,,
765,2/1/1969,33,33,Too Weak To Fight,Clarence Carter,13,15
766,12/5/1964,11,12,Ask Me,Elvis Presley,12,12
767,8/3/1974,4,5,The Night Chicago Died,Paper Lace,1,17
768,3/6/1982,6,5,That Girl,Stevie Wonder,4,18
769,11/10/1984,14,12,All Through The Night,Cyndi Lauper,5,19
770,3/15/1969,85,84,Hair,The Cowsills,2,15
771,8/10/1963,44,,,,,
772,8/23/1986,39,39,Press,Paul McCartney,21,11
773,10/19/1959,33,33,I Want To Walk You Home,Fats Domino,8,13
774,11/17/1958,56,,,,,
775,8/17/1991,69,69,Walking In Memphis,Marc Cohn,13,23
776,4/20/1985,16,14,Along Comes A Woman,Chicago,14,16
777,10/30/1965,15,14,Rescue Me,Fontella Bass,4,13
778,9/4/1976,42,,,,,
779,3/2/1974,50,51,A Very Special Love Song,Charlie Rich,11,14
780,10/24/1964,64,65,Time Is On My Side,The Rolling Stones,6,13
781,4/6/1963,36,37,On Broadway,The Drifters,9,10
782,2/23/1991,63,65,Because I Love You (The Postman Song),Stevie B,1,23
783,12/2/1978,26,28,Hot Child In The City,Nick Gilder,1,31
784,10/27/1984,88,,,,,
785,3/5/1966,92,90,(You're My) Soul And Inspiration,The Righteous Brothers,1,13
786,8/2/1980,86,,,,,
787,9/1/1958,58,58,The Ways Of A Woman In Love,Johnny Cash,24,11
788,12/31/1960,2,3,Last Date,Floyd Cramer,2,20
789,4/28/1962,40,40,Hey! Baby,Bruce Channel,1,14
790,6/16/1962,21,21,Everybody Loves Me But You,Brenda Lee,6,11
791,3/5/1988,12,11,"Hungry Eyes (From ""Dirty Dancing"")",Eric Carmen,4,24
792,6/1/1959,38,40,Almost Grown,Chuck Berry,32,12
793,1/21/1978,64,65,My Way,Elvis Presley,22,12
794,1/12/1985,90,88,Catch My Fall,Billy Idol,50,11
795,5/15/1976,35,35,I Want You,Marvin Gaye,15,13
796,11/23/1974,29,27,"You're The First, The Last, My Everything",Barry White,2,15
797,6/25/1977,51,51,I Don't Love You Anymore,Teddy Pendergrass,41,14
798,9/19/1981,39,39,Straight From The Heart,The Allman Brothers Band,39,11
799,6/29/1963,79,,,,,
800,8/7/1976,71,73,Magic Man,Heart,9,23
801,9/27/1986,35,,,,,
802,9/20/1980,87,86,Theme From The Dukes Of Hazzard (Good Ol' Boys),Waylon Jennings,21,23
803,9/13/1986,38,40,True Colors,Cyndi Lauper,1,20
804,1/6/1979,16,15,September,"Earth, Wind & Fire",8,17
805,9/15/1958,6,5,Just A Dream,Jimmy Clanton,4,18
806,11/26/1977,7,7,We're All Alone,Rita Coolidge,7,20
807,12/2/1978,63,64,You Took The Words Right Out Of My Mouth,Meat Loaf,39,13
808,11/9/1959,62,,,,,
809,11/3/1984,87,88,On The Wings Of A Nightingale,Everly Brothers,50,12
810,9/15/1990,3,5,Unskinny Bop,Poison,3,19
811,8/30/1980,97,98,Let's Get Serious,Jermaine Jackson,9,23
812,12/19/1981,74,72,Super Freak (Part I),Rick James,16,24
813,4/22/1967,32,33,California Nights,Lesley Gore,16,14
814,3/21/1960,67,67,Big Iron,Marty Robbins,26,10
815,3/10/1990,77,,,,,
816,3/14/1960,18,17,Where Or When,Dion,3,16
817,9/1/1958,90,,,,,
818,11/10/1984,8,8,Blue Jean,David Bowie,8,18
819,8/7/1971,10,10,Mercy Mercy Me (The Ecology),Marvin Gaye,4,12
820,10/9/1965,82,,,,,
821,12/30/1989,7,8,Just Like Jesse James,Cher,8,18
822,2/9/1959,14,12,I Cried A Tear,LaVern Baker,6,21
823,2/25/1978,77,79,Lovely Day,Bill Withers,30,12
824,3/27/1976,31,29,50 Ways To Leave Your Lover,Paul Simon,1,17
825,7/1/1989,17,,,,,
826,11/2/1968,87,,,,,
827,2/10/1990,28,29,Just A Friend,Biz Markie,9,22
828,7/20/1968,46,47,Journey To The Center Of The Mind,The Amboy Dukes,16,12
829,9/8/1990,50,,,,,
830,10/24/1981,11,11,Tryin' To Live My Life Without You,Bob Seger,5,19
831,3/8/1980,48,48,Sexy Eyes,Dr. Hook,5,21
832,1/23/1982,32,30,Through The Years,Kenny Rogers,13,15
833,8/9/1986,83,83,You Can Call Me Al,Paul Simon,23,29
834,7/12/1969,4,3,Good Morning Starshine,Oliver,3,13
835,8/26/1989,81,,,,,
836,4/3/1961,86,,,,,
837,9/13/1986,37,35,Sweet Love,Anita Baker,8,22
838,8/18/1962,77,79,Surfin' Safari,The Beach Boys,14,17
839,7/19/1975,23,23,When Will I Be Loved,Linda Ronstadt,2,19
840,4/20/1963,94,,,,,
841,10/5/1968,22,23,Born To Be Wild,Steppenwolf,2,13
842,11/3/1973,38,40,Goodbye Yellow Brick Road,Elton John,2,17
843,11/11/1989,45,47,If I Could Turn Back Time,Cher,3,23
844,8/20/1983,53,54,Burning Down The House,Talking Heads,9,20
845,1/23/1988,3,4,Got My Mind Set On You,George Harrison,1,22
846,6/2/1979,48,49,Dance Away,Roxy Music,44,9
847,11/11/1972,55,55,Sweet Surrender,Bread,15,11
848,10/9/1965,18,18,"Liar, Liar",The Castaways,12,14
849,7/9/1988,28,28,Do You Love Me,The Contours,3,34
850,4/28/1984,64,62,Jump (for My Love),The Pointer Sisters,3,24
851,10/8/1977,91,,,,,
852,5/3/1969,82,80,Bad Moon Rising,Creedence Clearwater Revival,2,14
853,2/15/1964,56,54,I Saw Her Standing There,The Beatles,14,11
854,10/18/1969,43,,,,,
855,2/7/1987,26,,,,,
856,7/20/1991,67,67,I Like The Way (The Kissing Game),Hi-Five,1,23
857,9/12/1970,34,32,Get Up (I Feel Like Being Like A) Sex Machine (Part 1),James Brown,15,9
858,10/25/1986,99,,,,,
859,9/13/1980,42,43,Make A Little Magic,Nitty Gritty Dirt Band,25,16
860,1/3/1976,91,,,,,
861,11/27/1982,68,67,You've Got Another Thing Comin',Judas Priest,67,7
862,3/7/1960,87,,,,,
863,2/6/1961,33,32,Wheels,The String-A-Longs,3,16
864,5/30/1981,48,48,Elvira,Oak Ridge Boys,5,22
865,3/20/1982,24,24,Don't Talk To Strangers,Rick Springfield,2,21
866,11/16/1968,68,,,,,
867,8/19/1967,58,,,,,
868,6/12/1976,27,,,,,
869,1/3/1970,52,,,,,
870,11/30/1985,66,65,And She Was,Talking Heads,54,20
871,10/13/1958,28,,,,,
872,11/22/1975,28,28,Secret Love,Freddy Fender,20,11
873,8/24/1959,26,25,The Battle Of New Orleans,Johnny Horton,1,20
874,2/24/1973,71,73,Superman,Donna Fargo,41,9
875,2/5/1977,39,39,She Thinks I Still Care,Elvis Presley,31,13
876,2/13/1971,71,,,,,
877,4/12/1986,62,,,,,
878,11/26/1966,49,,,,,
879,8/2/1986,56,55,Walk This Way,Run-D.M.C.,4,16
880,2/21/1976,91,,,,,
881,4/4/1981,11,12,Don't Stand So Close To Me,The Police,10,18
882,3/17/1984,4,3,Somebody's Watching Me,Rockwell,2,19
883,11/26/1988,14,,,,,
884,5/20/1989,89,89,One,Metallica,35,15
885,10/6/1990,60,61,The Way You Do The Things You Do,UB40,6,25
886,8/25/1984,69,71,Dance Hall Days,Wang Chung,16,22
887,9/9/1989,99,99,Me Myself And I,De La Soul,34,17
888,8/6/1977,67,67,Baby Don't Change Your Mind,Gladys Knight & The Pips,52,11
889,10/15/1988,7,7,Don't You Know What The Night Can Do?,Steve Winwood,6,17
890,7/16/1966,29,31,Let's Go Get Stoned,Ray Charles,31,9
891,4/22/1967,82,83,Happy Jack,The Who,24,9
892,8/4/1962,99,,,,,
893,7/25/1970,24,25,War,Edwin Starr,1,15
894,7/4/1981,91,91,On And On And On,Abba,90,6
895,5/11/1974,77,78,A Dream Goes On Forever,Todd Rundgren,69,6
896,3/11/1967,25,27,California Nights,Lesley Gore,16,14
897,8/16/1986,95,,,,,
898,4/25/1981,11,11,I Can't Stand It,Eric Clapton,10,17
899,5/24/1980,71,,,,,
900,2/24/1968,4,4,I Wish It Would Rain,The Temptations,4,14
901,2/13/1971,68,67,Country Road,James Taylor,37,8
902,9/21/1974,73,72,"Honey, Honey",Abba,27,10
903,9/28/1963,3,3,Be My Baby,The Ronettes,2,13
904,4/23/1966,60,61,Till The End Of The Day,The Kinks,50,8
905,8/15/1970,35,33,Teach Your Children,"Crosby, Stills & Nash",16,11
906,7/4/1970,45,,,,,
907,4/4/1964,22,,,,,
908,2/10/1968,79,,,,,
909,8/19/1989,32,32,Kisses On The Wind,Neneh Cherry,8,14
910,7/5/1980,85,86,Time For Me To Fly,REO Speedwagon,56,13
911,5/26/1990,4,4,Hold On,Wilson Phillips,1,25
912,3/17/1973,57,,,,,
913,4/22/1989,8,8,Girl You Know It's True,Milli Vanilli,2,26
914,1/15/1977,96,97,If Not You,Dr. Hook,55,11
915,9/9/1972,63,63,Sweet Caroline (Good Times Never Seemed So Good),Bobby Womack,51,9
916,12/23/1978,13,13,Promises,Eric Clapton,9,18
917,1/5/1974,62,60,Love Song,Anne Murray,12,17
918,9/15/1984,47,,,,,
919,8/19/1989,87,,,,,
920,9/25/1982,23,23,Hot In The City,Billy Idol,23,27
921,3/10/1979,86,,,,,
922,3/14/1987,48,,,,,
923,9/16/1967,89,88,Judy,Elvis Presley,78,5
924,8/3/1985,49,,,,,
925,10/23/1976,26,25,The Best Disco In Town,The Ritchie Family,17,20
926,11/7/1960,44,44,Perfidia,The Ventures,15,13
927,9/6/1969,54,53,"Out Of Sight, Out Of Mind",Little Anthony & The Imperials,52,9
928,5/25/1968,13,12,Mony Mony,Tommy James,3,17
929,5/23/1987,64,65,Dirty Water,Rock And Hyde,61,10
930,2/21/1976,52,,,,,
931,4/17/1976,77,,,,,
932,5/8/1971,44,45,Treat Her Like A Lady,Cornelius Brothers & Sister Rose,3,18
933,6/29/1968,54,53,Eleanor Rigby,Ray Charles,35,10
934,7/3/1982,61,,,,,
935,4/20/1968,1,3,Cry Like A Baby,The Box Tops,2,15
936,10/18/1986,87,,,,,
937,3/16/1963,17,,,,,
938,7/5/1980,19,,,,,
939,1/26/1991,8,,,,,
940,8/3/1974,3,3,Feel Like Makin' Love,Roberta Flack,1,16
941,8/16/1986,93,91,Like A Rock,Bob Seger,12,13
942,4/3/1971,91,,,,,
943,10/5/1968,50,49,I Found A True Love,Wilson Pickett,42,7
944,5/17/1980,37,36,Starting Over Again,Dolly Parton,36,10
945,7/24/1971,41,39,Riders On The Storm,The Doors,14,12
946,1/20/1968,7,8,I Second That Emotion,The Miracles,4,15
947,9/16/1967,65,65,Fakin' It,Simon & Garfunkel,23,8
948,3/17/1962,25,24,The Twist,Chubby Checker,1,38
949,12/18/1982,42,,,,,
950,12/11/1971,8,8,All I Ever Need Is You,Sonny & Cher,7,15
951,11/26/1983,53,,,,,
952,3/31/1979,66,65,Feelin' Satisfied,Boston,46,7
953,9/13/1975,92,,,,,
954,2/2/1959,20,19,I Cried A Tear,LaVern Baker,6,21
955,4/21/1979,60,,,,,
956,7/31/1982,33,35,Eye In The Sky,The Alan Parsons Project,3,25
957,9/21/1974,83,,,,,
958,7/29/1978,3,3,Miss You,The Rolling Stones,1,20
959,4/25/1964,52,,,,,
960,6/22/1991,66,,,,,
961,5/6/1978,32,30,Take A Chance On Me,Abba,3,18
962,10/19/1974,11,,,,,
963,5/16/1981,82,84,The Stroke,Billy Squier,17,20
964,1/7/1967,63,65,Hello Hello,"The Sopwith ""Camel""",26,10
965,3/25/1967,45,45,Sweet Soul Music,Arthur Conley,2,15
966,8/7/1965,74,,,,,
967,11/6/1976,65,67,Breezin',George Benson,63,6
968,10/29/1966,29,31,Coming On Strong,Brenda Lee,11,13
969,10/18/1980,58,57,Don't Ask Me Why,Billy Joel,19,15
970,12/10/1983,92,94,Modern Love,David Bowie,14,13
971,10/19/1968,78,,,,,
972,10/19/1963,78,,,,,
973,4/30/1983,81,83,Little Too Late,Pat Benatar,20,14
974,9/17/1988,57,58,"Kokomo (From The ""Cocktail"" Soundtrack)",The Beach Boys,1,28
975,2/2/1963,40,,,,,
976,7/16/1966,6,,,,,
977,1/31/1970,17,,,,,
978,3/6/1971,84,82,The Look Of Love,Isaac Hayes,79,5
979,4/28/1984,99,97,Karma Chameleon,Culture Club,1,22
